Source Question,Ground Truth,Source Answer,Source Answer ID,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
What was the influence for both Jackson Pollock's work and Gregory Bateson?,"[{'kb_id': 'm.0bk5r', 'text': 'Carl Jung'}]",john d. graham,m.0c241_,['m.05zppz'],who is the gender of the influence for both Jackson Pollock's work and Gregory Bateson,"['m.04ysr', 'm.03_7q3', 'm.0g_6k', 'm.01n890', 'm.075vsh', 'm.012d38', 'm.01ty4', 'm.0bqb_']",SA
What was the latest film that Adam Sandler was in?,"[{'kb_id': 'm.010fch95', 'text': 'Paul Blart: Mall Cop 2'}]",jack and jill,m.0ch3qr1,['m.0gw5nxs'],what is the netflix genres of the latest film that Adam Sandler was in,"['m.010rdrd1', 'm.02m7tn', 'm.03qfpk', 'm.01h3y_', 'm.012z_7zt', 'm.047svrl', 'm.02q3pj', 'm.02hwd1n', 'm.02f6g5', 'm.0ch3qr1', 'm.074w86', 'm.02bhsc', 'm.02ylg6', 'm.0gwgn1k', 'm.0mzt5cs', 'm.07kb7vh', 'm.02qdrjx', 'm.05yxmk', 'm.087pfc', 'm.0v_ckgv', 'm.0d0stl', 'm.0crryph', 'm.0bshwmp', 'm.03z20c', 'm.0640m69', 'm.0f2sx4', 'm.0glpgxk', 'm.07hq75', 'm.02ph9tm', 'm.04p7q_', 'm.0zrq8j3', 'm.02tgz4', 'm.023vcd', 'm.0gj96ln', 'm.07ktmd', 'm.02d003', 'm.06j0d5']",SA
What stop motion movie did Ron Howard do a voice in?,"[{'kb_id': 'm.0dqwvw', 'text': 'Osmosis Jones'}]",a beautiful mind,m.09m6kg,['m.02kl65p'],what is the notable types of the thing do a voice in,"['m.0ztmt35', 'm.0x1h6pd', 'm.09m6kg', 'm.0h7wvj', 'm.0crrc8', 'm.0cg63ml', 'm.0408s9z', 'm.03qkshb', 'm.0gz5fd4', 'm.02mh4b', 'm.02yf34', 'm.01vd7y', 'm.08nv4q', 'm.02h40lc', 'm.0gxdf11', 'm.02vqsll', 'm.0gz5drw', 'm.011yd2', 'm.0dgkzwj', 'm.09gn44r', 'm.05zp576', 'm.050gkf', 'm.02_1sj', 'm.04xvlr', 'm.0crjcw1', 'm.06rqp_', 'm.03xx0x', 'm.02hrh1q', 'm.047nfz', 'm.065dc4', 'm.069ym_', 'm.03kbb8', 'm.0gz5dq9', 'm.0b_v1cq', 'm.0gz5dq_', 'm.0gz5fcw', 'm.05y48m', 'm.09dv9n4', 'm.0c3_662', 'm.0gz5drf']",SA
Who is the prime minister where the Kwama language is spoken?,"[{'kb_id': 'm.0dl1t3', 'text': 'Hailemariam Desalegn'}]",east africa,m.01mqb6,"['m.088lwc', 'm.04v6z_', 'm.04wj4p4', 'm.04t2vs8', 'm.08fznh', 'm.0265qp9', 'm.049yjdq', 'm.01n2g0', 'm.04w6y3t', 'm.04w6g5s', 'm.04w6y2t', 'm.04w6_36', 'm.04w6y51', 'm.04t0nyz', 'm.04q73m0', 'm.04w3zk2', 'm.04w4qkp', 'm.04w50nd', 'm.04w7m3h', 'm.04wbl89', 'm.04wddv4', 'm.05yxh46', 'm.04w2267']",what is the works of the prime minister where the Kwama language is spoken,['m.02_mbk'],SA
"What super bowls were won by the Giants prior to February 5, 2012?","[{'kb_id': 'm.04myq1', 'text': 'Super Bowl XXI'}, {'kb_id': 'm.076v7', 'text': 'Super Bowl XXV'}, {'kb_id': 'm.076sw', 'text': 'Super Bowl XLII'}]",super bowl xlii,m.04myq1,['m.080ls4'],"what is the locations of the super bowls were won by the Giants prior to February 5, 2012","['m.04myq1', 'm.043t_rh', 'm.076v7', 'm.076sw', 'm.0_gv20x', 'm.0j34j42', 'm.0_gv23p']",NA
What Ron Howard film was released first?,"[{'kb_id': 'm.09gf7yk', 'text': 'The Journey'}]",dr. seuss' how the grinch stole christmas,m.0crrc8,['m.0bm6bcr'],the Ron Howard film was released first is film set decoration by who,"['m.02mh4b', 'm.09m6kg', 'm.0crrc8', 'm.02yf34', 'm.01hw5kk', 'm.0dgkzwj', 'm.01vd7y', 'm.06xz7w', 'm.0crjcw1', 'm.06rqp_', 'm.0gxdf11', 'm.0134tnr7', 'm.03r58n', 'm.01xvjb', 'm.02rylzd', 'm.0crwz48', 'm.06zsyy6', 'm.02t9_q', 'm.05y48m', 'm.079h70']",SA
What Ron Howard film was released first?,"[{'kb_id': 'm.09gf7yk', 'text': 'The Journey'}]",the missing,m.04ynx7,"['m.0gsghz', 'm.02h40lc', 'm.06nm1', 'm.029n5q']",what is the language of the Ron Howard film was released first,"['m.09m6kg', 'm.0crrc8', 'm.02mh4b', 'm.02yf34', 'm.09hfyy', 'm.034bm_', 'm.02_1sj', 'm.047nfz', 'm.04ynx7', 'm.050gkf', 'm.0dgkzwj', 'm.01hw5kk', 'm.0f4_2k', 'm.011yd2', 'm.01vd7y', 'm.02vqsll', 'm.0gxdf11', 'm.02v5nx', 'm.065dc4', 'm.03xx0x', 'm.0crjcw1', 'm.06rqp_', 'm.02rylzd', 'm.06zsyy6', 'm.0crwz48', 'm.0xnx1p3', 'm.06xz7w', 'm.0cc5m07', 'm.079h70', 'm.0hv8w', 'm.02t9_q', 'm.0134tnr7', 'm.04d_tqm', 'm.05y48m']",SA
What Charlie Hunnam films were released prior to 1 January 2004?,"[{'kb_id': 'm.02cbhg', 'text': 'Abandon'}, {'kb_id': 'm.04y5gz', 'text': 'Cold Mountain'}, {'kb_id': 'm.02z0nhq', 'text': 'Nicholas Nickleby'}, {'kb_id': 'm.0bk88p', 'text': 'Whatever Happened to Harold Smith?'}]",frankie go boom,m.0gyffmd,"['m.0wh3pn8', 'm.0h4tvlm', 'm.0h4tvq6', 'm.0zbgx2_', 'm.0h4tvnq', 'm.0h4tvl7', 'm.0zbgw9x', 'm.0zbgw_x', 'm.0zbgwk9', 'm.0h4tvpv', 'm.0zbgwp1', 'm.0kdstvp', 'm.0h4tvmt', 'm.0h4tvpg', 'm.0h0ydlf', 'm.0zbgx1y', 'm.0h4tvn5', 'm.0h4tvp2', 'm.0gyffm9', 'm.0h4tvnb', 'm.0h4tvmd']",what is the starring of the Charlie Hunnam films were released prior to 1 January 2004,"['m.02z0nhq', 'm.0fh2v5', 'm.02cbhg', 'm.04y5gz', 'm.079s_7', 'm.0gx0plf', 'm.0g55y4p', 'm.0h0yd81', 'm.0gyffmd', 'm.0zn1hg0', 'm.0bk88p', 'g.11b6gq6dl2']",SA
What is the political system in the place that contains an airport that serves Duisburg?,"[{'kb_id': 'm.0c9rw5', 'text': 'Constitutional republic'}, {'kb_id': 'm.0drnm', 'text': 'Representative democracy'}, {'kb_id': 'm.0glnsx', 'text': 'Parliamentary republic'}, {'kb_id': 'm.0j729', 'text': 'Federal republic'}]",strategic bombing during world war ii,m.036fl5,"['m.01qdqg', 'm.0193qj', 'm.01cgdq', 'm.03rjj', 'm.059z0', 'm.05qhw', 'm.05vz3zq', 'm.06f32', 'm.0chghy', 'm.0d060g', 'm.0f8l9c', 'm.03l5m1', 'm.03c7d5', 'm.01rdm0', 'm.01d7q8', 'm.0hj5l', 'm.03hy3', 'm.017hw4', 'm.0b58j2', 'm.01ykjv', 'm.0b3b56', 'm.028ckg']",who is the entity involved of the political system in the place that contains an airport that serves Duisburg,"['m.0846fq', 'm.0345h', 'm.0268c8m', 'm.01brqf', 'm.01xpkvj', 'm.017gry', 'm.018hqt', 'm.026f4jb', 'm.05yxvrp', 'm.02gtnyn']",SA
What are the movies that Adam Sandler played in that also involves organization toonexplainers?,"[{'kb_id': 'm.010rdrd1', 'text': 'Pixels'}, {'kb_id': 'm.02m7tn', 'text': 'Eight Crazy Nights'}]",just go with it,m.0bshwmp,['m.06rq1k'],what is the production companies of the movies that Adam Sandler played in that also involves organization toonexplainers,"['m.02m7tn', 'm.010rdrd1']",SA
"What is the modern language at the location, in which the newspaper, Akhbar el-Yom, is circulated?","[{'kb_id': 'm.025rvv7', 'text': 'Modern Standard Arabic'}]",sa'idi arabic,m.02hxbhg,['m.0hfp'],"what is the language family of the modern language at the location, in which the newspaper, Akhbar el - Yom, is circulated","['m.025rvv7', 'm.0jzc', 'm.02hxbhg', 'm.051bnt', 'm.0c4chg', 'm.012zfy', 'm.03wc2kf', 'm.035t_3', 'm.02hx2cr']",SA
What happened in Dunkirk during WWII that ended on 05/08/1945?,"[{'kb_id': ':m.0wjk75w', 'text': 'Unbroken'}]",battle of the dunes,m.014mww,"['m.01lkky', 'm.01cjc4', 'm.0210n', 'm.01cjhj', 'm.03bdz3', 'm.0d9nm6']",who is the entity involved of the thing happened in Dunkirk during WWII that ended on 05/08/1945,"['m.02yy8', 'm.082xp', 'm.09bg4l']",SA
What was the magazine with a 1839 editorial tnure that Edgar Allan Poe worked for?,"[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",an evening of edgar allan poe,m.061_jx,['m.073kgs'],the magazine with a 1839 editorial tnure that Edgar Allan Poe worked for was directed by who,"['m.0g8rj', 'm.07x4c']",SA
The artist that created the art series of Water Lilies was inspired by what?,"[{'kb_id': 'm.016s03', 'text': 'Eug¨¨ne Delacroix'}, {'kb_id': 'm.01dqt1', 'text': 'Gustave Courbet'}, {'kb_id': 'm.0233w', 'text': 'Camille Pissarro'}, {'kb_id': 'm.03fw00', 'text': 'Eug¨¨ne Boudin'}, {'kb_id': 'm.06466', 'text': 'Pierre-Auguste Renoir'}, {'kb_id': 'm.074ck', 'text': 'St¨¦phane Mallarm¨¦'}, {'kb_id': 'm.0kzxl', 'text': 'Charles-Fran?ois Daubigny'}]",eug¨¨ne delacroix,m.016s03,"['m.0c19_zn', 'm.0c19__s', 'm.0c19__6', 'm.0c19_zy', 'm.0c19_xg', 'm.0c19_xr', 'm.0c19_y0', 'm.0c19_y9', 'm.0c19_zc', 'm.0c19_z3', 'm.0c1b001', 'm.0c19_wx', 'm.0c19_yl', 'm.0c19__h', 'm.0c19_x5', 'm.0c19_yw', 'm.0c1b00b']",the artist that created the art series of Water Lilies was The artist that created the art series of Water Lilies was is connections from what,"['m.03xj1', 'm.015r61', 'm.05qtj']",NA
What was the latest film that Taylor Lautner played in?,"[{'kb_id': 'm.0mzt5cs', 'text': 'Grown Ups 2'}]",the ridiculous six,m.012z_7zt,['m.09c7w0'],what is the country of the latest film that Taylor Lautner played in,"['m.02686wj', 'm.07cdy_t', 'm.0cmdl80', 'm.0mzt5cs', 'm.06_wqk4', 'm.075wx89', 'm.03nm_fh', 'm.05pdh86', 'm.0gx8qcw', 'm.06zs80t', 'm.066b_n', 'm.0g_w5hs', 'm.0ngj__s', 'm.06crgb', 'm.075wx7_', 'm.0djz0rc']",SA
What is there to do in Hollywood this coming weekend that is also the recording location for the tv show The A-Team?,"[{'kb_id': 'm.05qsy8', 'text': 'Universal Studios Hollywood'}]",hollywood sign,m.050ctv,['m.033h1f'],who is the famous ghosts of the is there to do in Hollywood this coming weekend that is also the recording location for the tv show The A - Team,"['m.05qsy8', 'm.030qb3t']",FP
What movies with a netflix_id over 60024930 is Adam Sandler in?,"[{'kb_id': 'm.087pfc', 'text': 'Jack and Jill'}, {'kb_id': 'm.07kb7vh', 'text': 'Dickie Roberts: Former Child Star'}, {'kb_id': 'm.074w86', 'text': 'Deuce Bigalow: European Gigolo'}, {'kb_id': 'm.0ch3qr1', 'text': 'Paul Blart: Mall Cop'}, {'kb_id': 'm.0f2sx4', 'text': 'Bedtime Stories'}, {'kb_id': 'm.0b6f8pf', 'text': 'Zookeeper'}, {'kb_id': 'm.0408m53', 'text': 'Bucky Larson: Born to Be a Star'}, {'kb_id': 'm.03why2r', 'text': 'Click'}, {'kb_id': 'm.07zsmk', 'text': 'Grown Ups'}, {'kb_id': 'm.02ph9tm', 'text': 'The Benchwarmers'}, {'kb_id': 'm.02qdrjx', 'text': 'Just Go With It'}, {'kb_id': 'm.0bshwmp', 'text': 'The House Bunny'}, {'kb_id': 'm.0640m69', 'text': ""You Don't Mess with the Zohan""}, {'kb_id': 'm.07x6zk', 'text': 'I Now Pronounce You Chuck and Larry'}]",blended,m.0v_ckgv,['m.0wpf92t'],the thing movies with a netflix_id over 60024930 is Adam Sandler in is film art direction by who,"['m.010rdrd1', 'm.02m7tn', 'm.0ch3qr1', 'm.02bhsc', 'm.03qfpk', 'm.02f6g5', 'm.01h3y_', 'm.02q3pj', 'm.012z_7zt', 'm.0mzt5cs', 'm.087pfc', 'm.047svrl', 'm.0640m69', 'm.074w86', 'm.02hwd1n', 'm.03z20c', 'm.0gwgn1k', 'm.0bshwmp', 'm.07kb7vh', 'm.02qdrjx', 'm.0f2sx4', 'm.02ylg6', 'm.02ph9tm', 'm.0v_ckgv', 'm.05yxmk', 'm.02tgz4', 'm.095z4q', 'm.0d0stl', 'm.01x_hw', 'm.0crryph', 'm.02hxhz', 'm.07hq75', 'm.023vcd']",FP
For what is the area where the newspaper Creative Loafing circulates famous?,"[{'kb_id': 'm.0jhn7', 'text': '1996 Summer Olympics'}]",peachtree road race,m.030pkm,['m.013yq'],what is the near travel destination of the area where the newspaper Creative Loafing circulates famous,"['m.0j28sdt', 'm.03l1zc', 'm.0fpmfg', 'm.06bxs4', 'm.04htb5', 'm.04jny9', 'm.027r6hr', 'm.029fnx', 'm.050n0y', 'm.04_mbv', 'm.0130ft', 'm.030pkm', 'm.0b5g4p', 'm.02xmrp', 'm.03xrf5', 'm.0gln9p', 'm.03wm34', 'm.0c3cp2', 'm.04d135', 'm.050mtz', 'm.03sm22', 'm.027t71h', 'm.05c25f2', 'm.04qrhq', 'm.02jnft', 'm.050my1', 'm.03spbl', 'm.050m_5', 'm.033h7k', 'm.03q1hw', 'm.038gvs', 'm.020fp1', 'm.03cspcp']",SA
"What building in Vienna, Austria has 50 floors?","[{'kb_id': 'm.0b0lgr', 'text': 'Millennium Tower'}]","karlskirche, vienna",m.04lv9z,"['m.03y57t', 'm.026kj9z']","who is the architect of the building in Vienna, Austria has 50 floors","['m.03mp37', 'm.0h7x', 'm.0h0xpzx', 'm.0ph4fzw']",SA
Who exactly is the artist nominated for awards for "Christmas (2011)"?,"[{'kb_id': 'm.02hrh1q', 'text': 'Actor'}, {'kb_id': 'm.09l65', 'text': 'Singer'}, {'kb_id': 'm.0nbcg', 'text': 'Songwriter'}]",michael bubl¨¦ meets madison square garden,m.05z_gs2,['m.02xkkq'],who is the artist of the exactly is the artist nominated for awards for " Christmas (2011) ","['m.0nbcg', 'm.02hrh1q', 'm.09l65']",SA
What is the last movie recorded by Faster Kill Pussycat (club mix)?,"[{'kb_id': ':m.0cr3d', 'text': 'Brooklyn'}]",musician,m.09jwl,"['m.0nbxthd', 'm.04_k51t', 'm.052nz5x', 'm.0b9t5vz', 'm.014t8y', 'm.025sd_y', 'm.016z4k', 'm.01c72t', 'm.01c8w0', 'm.039v1', 'm.09l65', 'm.09lbv', 'm.0gbbt', 'm.0nbcg', 'm.01b30l', 'm.05vyk', 'm.0hpcdn2', 'm.024rt0', 'm.0fq0t_c', 'm.012vv0', 'm.05b2my4', 'm.03lgtv', 'm.04f2zj', 'm.012vtp', 'm.02p1_x_', 'm.012vt9', 'm.02h66dr', 'm.02h66l4', 'm.0fnpj', 'm.02743k0', 'm.04_mqc9', 'm.0j2bsxl', 'm.025__xf', 'm.025s3v8', 'm.0gfnm0q', 'g.1233lk8r', 'm.02h66dz', 'm.04_k4ht', 'm.0yx55dr', 'm.03qsdy1', 'm.0f96h', 'm.03qsdl8', 'm.0fnqb', 'm.0305vf', 'm.0j5dhj1', 'm.0w7pmr4', 'm.02h6nzg', 'm.03qsddn', 'm.0ghr_m4', 'm.03x_3wr', 'm.02h66jc', 'm.03qsdcq', 'm.0n663yw', 'm.0g8njk7', 'm.02h6nxr', 'm.0k3djx1', 'm.01663r', 'm.02f0_d', 'm.03qsdmc', 'm.03qsd2z', 'm.01cmdm', 'm.01zsnvx', 'm.026hd32', 'm.0cr07yk', 'm.02h66hs', 'm.0ggk9_2', 'm.09wdlw0', 'm.03qsd75', 'm.0lyysb2', 'm.03wg101', 'm.02h66jv']",who is the specializations of the last movie recorded by Faster Kill Pussycat (club mix),"['m.02q7n0v', 'm.0lcdk', 'm.0dq9p', 'm.016nvh', 'm.0290ngj']",SA
What tv show episode runs for 30 minutes and features Tamera Mowry?,"[{'kb_id': ':m.08l81_', 'text': 'The Look for Less'}]",the adventures of hyperman,m.08lsjw,['m.09c7w0'],what is the country of origin of the tv show episode runs for 30 minutes and features Tamera Mowry,"['m.02rr9jc', 'm.0706t_', 'm.08lsjw', 'm.05h2jn_', 'm.08l81_']",SA
"What was the name of Adolf Hitler's parent who died on January 3, 1903?","[{'kb_id': 'm.02p0d7', 'text': 'Alois Hitler'}]",klara hitler,m.0321wy,['m.02z7q_'],"who is the profession of the name of Adolf Hitler's parent who died on January 3, 1903","['m.02p0d7', 'm.02n7m', 'm.0321wy']",FP
What are the names of the Walt Disney kids who died in Santa Monica?,"[{'kb_id': 'm.07kyh5', 'text': 'Sharon Mae Disney'}]",irving g. thalberg memorial award,m.0c917,"['m.0_hbt1g', 'm.0q23mj9', 'm.0_mw650', 'm.0_l_h6_', 'm.0_l_lg7', 'm.02sccy3', 'm.0_h9b77', 'm.0_hg1k4', 'm.0_kvqtl', 'm.0_l_0d7', 'm.0_l_1ql', 'm.0_lwxcp', 'm.0gvz0bk', 'm.0gz4l1n', 'm.0n9yww7', 'm.0w17cjn', 'm.0w20889', 'm.0w5srd7']",what is the winners of the names of the Walt Disney kids who died in Santa Monica,"['m.015yg9', 'm.0gy738g', 'm.0gy7442', 'm.03hfstp', 'm.0k5mc', 'm.015xg2']",FP
For what is the area where the newspaper Creative Loafing circulates famous?,"[{'kb_id': 'm.0jhn7', 'text': '1996 Summer Olympics'}]",woodruff arts center,m.050m_5,['m.013yq'],what is the near travel destination of the area where the newspaper Creative Loafing circulates famous,"['m.0j28sdt', 'm.03l1zc', 'm.0fpmfg', 'm.06bxs4', 'm.04htb5', 'm.04jny9', 'm.027r6hr', 'm.029fnx', 'm.050n0y', 'm.04_mbv', 'm.0130ft', 'm.030pkm', 'm.0b5g4p', 'm.02xmrp', 'm.03xrf5', 'm.0gln9p', 'm.03wm34', 'm.0c3cp2', 'm.04d135', 'm.050mtz', 'm.03sm22', 'm.027t71h', 'm.05c25f2', 'm.04qrhq', 'm.02jnft', 'm.050my1', 'm.03spbl', 'm.050m_5', 'm.033h7k', 'm.03q1hw', 'm.038gvs', 'm.020fp1', 'm.03cspcp']",SA
What is the modern language in the place where Adly Mansour is in a post in the government?,"[{'kb_id': ':m.025rvv7', 'text': 'Modern Standard Arabic'}]",acting prime minister,m.04043ys,"['m.010g618m', 'm.010g65xt', 'm.010gfnjv', 'm.010gfnkt', 'm.010b2fp1', 'm.010g63c_', 'm.0w4vnr0', 'm.010g6wxb', 'm.010gg9c9', 'm.0_sl34m', 'm.010g45bv', 'm.010g4682', 'm.010g47p7', 'm.011b_smm', 'm.0n7wsbx', 'm.0n7wsc5', 'm.0vsc3f7', 'm.010gfgvk', 'm.0_g0wpm', 'm.0j783ms', 'm.010gfmqn', 'm.010qz2n_', 'm.010g495k', 'm.010gfgl6', 'm.010gh3dr', 'm.010gh6qc', 'm.010fzs66', 'm.010fzsg8', 'm.010fzsjp', 'm.010h2brc', 'm.0_g7dln', 'm.010gjd94', 'm.0_rs8f8', 'm.0l0j4x3', 'm.0n_9rdt', 'm.010g5s6n', 'm.0_f047y', 'm.010fzt81', 'm.010g44y9', 'm.010g6vwd', 'm.010g5_d1', 'm.010g70ft', 'm.010g6wcq', 'm.010gfgjc', 'm.0rypygv', 'm.010ggs6h', 'm.010ggsgf', 'm.010ggsz0', 'm.010ggt3n', 'm.010ggtbl', 'm.010ghfl5', 'm.0110fs45', 'm.0l1j52_', 'm.010gfmq5', 'm.0j5plfg', 'm.0t_5dcw', 'm.010gfnzj', 'm.010ggd_5', 'm.010ggdpj', 'm.010ggf5j', 'm.010gk3l9', 'm.010gk3w5', 'm.010hsr75', 'm.0_xlf87', 'm.0h8b6z2', 'm.010g48pm', 'm.010g67tv', 'm.0_xy6kt', 'm.0103kh2l', 'm.0lr41t6', 'm.0lr66kl', 'm.0lyz_7w', 'm.010gt7g5', 'm.010g5vxw', 'm.010gg9b6', 'm.010gfhjx', 'm.0j6qm9r', 'm.010qywpm', 'm.010gfn8l', 'm.010g44wx', 'm.010gg3vm', 'm.011cs6y5', 'm.010r2lrp', 'm.0rgyc2d', 'm.010wrc7n', 'm.0r9hb4g', 'm.0rfyr_c', 'm.010gflxd', 'm.010gfkrd', 'm.010gfww6', 'm.0kjyw3c', 'm.010gjpkr', 'm.0cqgj6q', 'm.010gj9mg', 'm.010gg9lp', 'm.010ggbks', 'm.010phvv4', 'm.0gj2yhs', 'm.010gfgz0', 'm.010gfp0g', 'm.010g62v5', 'm.010gh4sg', 'm.010g435y', 'm.010hsr6m', 'm.010gffbz', 'm.010gffnr', 'm.010gffxb', 'm.010gfh__', 'm.010g78wb', 'm.010g44fj', 'm.010fpx0j', 'm.010g4dwm', 'm.010g4h86', 'm.0vsc6pz', 'm.010fzwjj', 'm.010gh487', 'm.010gh4kv', 'm.0jnbmrw', 'm.010gfdzk', 'm.010gfjxp', 'm.010g46l9', 'm.010g4fwg', 'm.010gh4m_', 'm.0jvghds', 'm.010fzrkx', 'm.010fzvzl', 'm.010g4580', 'm.010gfgqt', 'm.010g5tvp', 'm.010g5rxs', 'm.0gj2ykl']",what is the officeholders of the modern language in the place where Adly Mansour is in a post in the government,"['m.01zdtb', 'm.0wd4m1d', 'm.027k20y', 'm.019pjh', 'm.0vb3gww', 'm.01r973', 'm.0svw0', 'm.06m65h', 'm.05j7yn', 'm.0rfc2bm']",SA
What happened during WWII with the smallest force size in Dunkirk?,"[{'kb_id': 'm.0jpb7', 'text': 'Battle of Dunkirk'}]",y¨­hei k¨­no,m.03f5dg,['m.05zppz'],who is the gender of the thing happened during WWII with the smallest force size in Dunkirk,"['m.02yy8', 'm.09bg4l', 'm.082xp']",SA
What animated type movies did Adam Sandler star in?,"[{'kb_id': 'm.010rdrd1', 'text': 'Pixels'}, {'kb_id': 'm.02m7tn', 'text': 'Eight Crazy Nights'}]",the longest yard,m.095z4q,"['m.0gs8gx', 'm.0pz91', 'm.06rq2l', 'm.0jxsqw', 'm.0jtkz9', 'm.0k613p', 'm.0k77bb', 'm.05bdqt']",the animated type movies Adam Sandler star in is executive produced by who,"['m.010rdrd1', 'm.02m7tn', 'm.0ch3qr1', 'm.0640m69', 'm.0mzt5cs', 'm.087pfc', 'm.03z20c', 'm.0gwgn1k', 'm.02bhsc', 'm.03qfpk']",SA
"In the country where the Saek language is spoken, what languages were also spoken?","[{'kb_id': 'm.011ln5', 'text': 'Lao Language'}, {'kb_id': 'm.01lqm', 'text': 'Khmer language'}, {'kb_id': 'm.02hwgbx', 'text': 'Akha Language'}, {'kb_id': 'm.02hx03r', 'text': 'Mlabri Language'}, {'kb_id': 'm.04lx1w', 'text': 'Hmong language'}, {'kb_id': 'm.052px1', 'text': 'Saek language'}, {'kb_id': 'm.072f4m', 'text': 'Malay, Pattani Language'}, {'kb_id': 'm.07zrf', 'text': 'Vietnamese Language'}, {'kb_id': 'm.08h4f2', 'text': 'Nyaw Language'}, {'kb_id': 'm.08h4l8', 'text': 'Phu Thai language'}, {'kb_id': 'm.0bskhb', 'text': 'Cham language'}, {'kb_id': 'm.0bxn4', 'text': 'Mon Language'}, {'kb_id': 'm.0c_v2', 'text': 'Thai Language'}]",thai language,m.0c_v2,['m.07f1x'],"the the country where the Saek language is spoken, what languages were also spoken is countries spoken in what","['m.0c_v2', 'm.011ln5', 'm.01lqm', 'm.07zrf', 'm.0bskhb', 'm.04lx1w', 'm.0bxn4', 'm.072f4m', 'm.02hwgbx', 'm.02hx03r', 'm.08h4l8', 'm.08h4f2']",FP
"What super bowls were won by the Giants prior to February 5, 2012?","[{'kb_id': 'm.04myq1', 'text': 'Super Bowl XXI'}, {'kb_id': 'm.076v7', 'text': 'Super Bowl XXV'}, {'kb_id': 'm.076sw', 'text': 'Super Bowl XLII'}]",2001 nfc championship game,m.0_gv23p,['m.051q5'],"the super bowls were won by the Giants prior to February 5, 2012 is runner up what","['m.04myq1', 'm.043t_rh', 'm.0j34j42', 'm.076v7', 'm.076sw', 'm.0_gv20x', 'm.0_gv23p']",FP
"What can be seen and done in the Vienna, Austria venue with a capacity of 4900?","[{'kb_id': 'm.05ksgz', 'text': 'Hofburg Palace'}]","capuchin church, vienna",m.098gjd,['g.125ffv41g'],"the thing can be seen and done in the Vienna, Austria venue with a capacity of 4900 is notable for what","['m.021c8v', 'm.05ksgz', 'm.015_kq', 'm.04lv9z', 'm.0bygq4', 'm.04zct1', 'm.02q__dl', 'm.071ygm', 'm.098gjd']",SA
"What is there to do or see in Vienna, Austria with a venue capacity larger than 2100?","[{'kb_id': 'm.05ksgz', 'text': 'Hofburg Palace'}]",mumok,m.02q__dl,['m.01y2hbz'],"what is the notable types of the is there to do or see in Vienna, Austria with a venue capacity larger than 2100","['m.021c8v', 'm.015_kq', 'm.05ksgz', 'm.0bygq4', 'm.04zct1', 'm.04lv9z', 'm.02q__dl', 'm.071ygm', 'm.0b0lgr', 'm.098gjd', 'm.0c1v9t']",FP
Who dated the award nominee for " A Love Song for Bobby Long?"?,"[{'kb_id': 'm.01g0jn', 'text': 'nm1157013'}, {'kb_id': 'm.01kgv4', 'text': 'Josh Hartnett'}, {'kb_id': 'm.028r4y', 'text': 'Topher Grace'}, {'kb_id': 'm.02fybl', 'text': 'Jared Leto'}, {'kb_id': 'm.036hf4', 'text': 'Ryan Reynolds'}, {'kb_id': 'm.055zkh', 'text': 'Patrick Wilson'}, {'kb_id': 'm.0j1yf', 'text': 'Justin Timberlake'}]",get carter,m.05nyqk,['m.0kprd8'],what is the rating of the person dated the award nominee for " A Love Song for Bobby Long? ","['m.04ly1', 'm.0gc_bpx', 'm.01d_h8', 'm.02114t', 'm.02hrh1q']",SA
What shows feature Tamera Mowry and have only one season?,"[{'kb_id': 'm.02rr9jc', 'text': 'Detention'}, {'kb_id': 'm.05h2jn_', 'text': 'Roommates'}, {'kb_id': 'm.08lsjw', 'text': 'The Adventures of Hyperman'}]","sister, sister",m.0706t_,['m.02h40lc'],what is the languages of the thing feature Tamera Mowry and have only one season,"['m.0h2b2lm', 'm.0h2b2ld', 'm.05n5lqz', 'm.0dg9y03', 'm.0fjtx7', 'm.0h2b2l5']",SA
What is the native language of Jewish people?,"[{'kb_id': ':m.04x7hz', 'text': 'Lishanid Noshan Language'}]",judeo-aramaic languages,m.057k1c,['g.1255l14cv'],the native language of Jewish people is notable for what,"['m.03spz', 'm.06b_j', 'm.03hkp', 'm.06nm1', 'm.0880p', 'm.04p7x', 'm.064_8sq', 'm.05k_d6', 'm.02hx72b', 'm.05pfcj', 'm.057k1c', 'm.039d68', 'm.09c7w0', 'm.05p1ky', 'm.0394p3', 'm.04zxk0', 'm.04x6fd', 'm.05mcpc', 'm.033r5w', 'm.03wxv4', 'm.04x5zg', 'm.04x7hz', 'm.05m7l7', 'm.033qhv', 'm.02h40lc', 'm.033qxt', 'm.013b7g', 'm.0669rls', 'm.06mkj', 'm.06bnz']",SA
Who was the cinematographer in a movie directed by Angelina Jolie?,"[{'kb_id': 'm.011q46b6', 'text': 'By the Sea'}, {'kb_id': 'm.0gttw8n', 'text': 'In the Land of Blood and Honey'}]",by the sea,m.011q46b6,['m.012f2jk7'],what is the distributors of the cinematographer in a movie directed by Angelina Jolie,"['m.0gttw8n', 'm.011q46b6', 'm.0k0tq97', 'm.0wjk75w', 'm.098sms', 'm.0f8t7l', 'm.031zk3', 'm.0ngxp8g', 'm.031tc2', 'm.0pcvgng']",NA
