Source Question,Ground Truth,Source Answer,Source Answer ID,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
who influenced samuel taylor coleridge,"[{'kb_id': 'm.03sbs', 'text': 'Immanuel Kant'}, {'kb_id': 'm.01gnng', 'text': 'Emanuel Swedenborg'}, {'kb_id': 'm.0448r', 'text': 'John Milton'}, {'kb_id': 'm.0nld', 'text': 'Algernon Charles Swinburne'}, {'kb_id': 'm.015_hb', 'text': 'Giambattista Vico'}, {'kb_id': 'm.015n8', 'text': 'Baruch Spinoza'}, {'kb_id': 'm.09482', 'text': 'Robert Burns'}, {'kb_id': 'm.081k8', 'text': 'William Shakespeare'}, {'kb_id': 'm.017m4j', 'text': 'Thomas Browne'}, {'kb_id': 'm.0182w0', 'text': 'Friedrich Wilhelm Joseph Schelling'}]",emanuel swedenborg,m.01gnng,['m.01gnns'],what is the article of the person influenced samuel taylor coleridge,"['m.0nld', 'm.017m4j', 'm.081k8', 'm.015n8', 'm.0448r', 'm.09482', 'm.03sbs', 'm.01gnng', 'm.0182w0', 'm.015_hb', 'm.0fq6xkb', 'm.03zdls', 'm.04t3_s8', 'm.04t3_rs', 'm.0fq6v0y', 'm.04t3_r8', 'm.0fq6yjz', 'm.0fq6s8m', 'm.0fq6g5j', 'm.0fq6q4s', 'm.0fq6x5p', 'm.06bqn9y', 'm.0fq6yjw', 'm.0fq6yjl', 'm.0fq6xw2', 'm.0fq6yjs', 'm.06kjc0s', 'm.0fq6yjp', 'm.0fq6vmf']",NA
what is the zip code for schenectady new york,"[{'kb_id': 'm.020g9r0', 'text': '12305'}, {'kb_id': 'm.03dv1zn', 'text': '12303'}, {'kb_id': 'm.020g9sv', 'text': '12308'}, {'kb_id': 'm.02kxqvh', 'text': '12345'}, {'kb_id': 'm.020g9vb', 'text': '12309'}, {'kb_id': 'm.03dv1_1', 'text': '12304'}, {'kb_id': 'm.07nrp8x', 'text': '12325'}, {'kb_id': 'm.07nrp93', 'text': '12301'}, {'kb_id': 'm.03dv1_v', 'text': '12307'}, {'kb_id': 'm.020g9r_', 'text': '12306'}, {'kb_id': 'm.020g9yp', 'text': '12302'}]",12325,m.07nrp8x,['g.12595dfp5'],the zip code for schenectady new york is notable for what,"['m.020g9r0', 'm.020g9sv', 'm.07nrp8x', 'm.02kxqvh', 'm.07nrp93', 'm.03dv1zn', 'm.03dv1_1', 'm.020g9yp', 'm.020g9vb', 'm.03dv1_v', 'm.020g9r_']",NA
what to do with my kids in toronto,"[{'kb_id': 'm.06d1jn', 'text': 'Queens Quay'}, {'kb_id': 'm.01tws', 'text': 'CN Tower'}, {'kb_id': 'm.0170x4', 'text': 'Rogers Centre'}, {'kb_id': 'm.018dtx', 'text': 'Toronto Islands'}, {'kb_id': 'm.04h_rf', 'text': 'Royal Alexandra Theatre'}, {'kb_id': 'm.08wgfx', 'text': 'BMO Field'}, {'kb_id': 'm.02cfl0', 'text': 'Spadina House'}, {'kb_id': 'm.024wty', 'text': 'High Park'}, {'kb_id': 'm.02jzwv', 'text': 'Ontario Place'}, {'kb_id': 'm.01_zt4', 'text': 'Casa Loma'}, {'kb_id': 'm.08pt1m', 'text': 'First Toronto Post Office'}, {'kb_id': 'm.056fr8', 'text': 'Princess of Wales Theatre'}, {'kb_id': 'm.07040p', 'text': 'Distillery District'}, {'kb_id': 'm.02qnrn_', 'text': 'Museum of Contemporary Canadian Art'}, {'kb_id': 'm.02dktk', 'text': 'Queen Street West'}, {'kb_id': 'm.01zrh2', 'text': 'Toronto Eaton Centre'}, {'kb_id': 'm.01yk7l', 'text': 'Cabbagetown, Toronto'}, {'kb_id': 'm.028b_w', 'text': 'Air Canada Centre'}, {'kb_id': 'm.026lgdg', 'text': 'Textile Museum of Canada'}, {'kb_id': 'm.024yvy', 'text': 'Chinatown, Toronto'}, {'kb_id': 'm.027_p6', 'text': 'Kensington Market'}, {'kb_id': 'm.0jt2h', 'text': 'Hockey Hall of Fame'}, {'kb_id': 'm.0g5824n', 'text': 'Bare Oaks Family Naturist Park'}, {'kb_id': 'm.049gql', 'text': 'Sony Centre for the Performing Arts'}, {'kb_id': 'm.05kywl', 'text': 'Danforth Avenue'}, {'kb_id': 'm.08jh92', 'text': 'Edwards Gardens'}, {'kb_id': 'm.05398k', 'text': 'Toronto Centre for the Arts'}, {'kb_id': 'm.02h456', 'text': ""Canada's Wonderland""}, {'kb_id': 'm.04zvykh', 'text': 'Bayview Village Shopping Centre'}, {'kb_id': 'm.0swmcnz', 'text': 'Heartland Town Centre'}, {'kb_id': 'm.049gjy', 'text': 'Roy Thomson Hall'}, {'kb_id': 'm.02vpw01', 'text': 'Luminato'}, {'kb_id': 'm.0cp0hfg', 'text': 'Sugar Beach'}, {'kb_id': 'm.01xs9p', 'text': 'Royal Ontario Museum'}, {'kb_id': 'm.06j93_', 'text': 'St. Lawrence Market'}, {'kb_id': 'm.0bk7sc', 'text': ""Hanlan's Point Beach""}, {'kb_id': 'm.02js07', 'text': 'Ontario Science Centre'}, {'kb_id': 'm.02kppx', 'text': 'Black Creek Pioneer Village'}, {'kb_id': 'm.0wbh5pc', 'text': 'Corktown Common'}, {'kb_id': 'm.02vylr', 'text': 'Art Gallery of Ontario'}, {'kb_id': 'm.03q_c9', 'text': 'Yorkville, Toronto'}, {'kb_id': 'm.026gt46', 'text': 'Toronto Waterfront Marathon'}, {'kb_id': 'm.049963', 'text': 'Nathan Phillips Square'}, {'kb_id': 'm.01zqjc', 'text': 'The Beaches'}, {'kb_id': 'm.05dv6f', 'text': 'Planet in Focus'}, {'kb_id': 'm.05s4g6', 'text': 'McMichael Canadian Art Collection'}, {'kb_id': 'm.02jlfc', 'text': 'Toronto Zoo'}, {'kb_id': 'm.02vpvh6', 'text': 'Gardiner Museum'}, {'kb_id': 'm.0496dg', 'text': 'Bata Shoe Museum'}]",hockey hall of fame,m.0jt2h,['m.0jt2s'],what is the article of the thing to do with my kids in toronto,"['m.02h40lc', 'm.028b_w', 'm.05dv6f', 'm.02js07', 'm.0496dg', 'm.049gjy', 'm.02vpvh6', 'm.0jt2h', 'm.024yvy', 'm.024wty', 'm.0cp0hfg', 'm.01xs9p', 'm.02vylr', 'm.0bk7sc', 'm.05398k', 'm.01_zt4', 'm.01tws', 'm.04h_rf', 'm.02h456', 'm.02qnrn_', 'm.03q_c9', 'm.049gql', 'm.0swmcnz', 'm.02cfl0', 'm.018dtx', 'm.05s4g6', 'm.049963', 'm.06j93_', 'm.056fr8', 'm.02jlfc', 'm.02vpw01', 'm.01yk7l', 'm.026gt46', 'm.026lgdg', 'm.0g5824n', 'm.06d1jn', 'm.02kppx', 'm.02jzwv']",NA
what to do and see in vienna austria,"[{'kb_id': 'm.025zg_7', 'text': 'Liechtenstein Museum'}, {'kb_id': 'm.09fvwy', 'text': 'Prater'}, {'kb_id': 'm.015_kq', 'text': 'Sch?nbrunn Palace'}, {'kb_id': 'm.079jqn', 'text': 'Schottenkirche, Vienna'}, {'kb_id': 'm.021c8v', 'text': 'Vienna State Opera'}, {'kb_id': 'm.0b0lgr', 'text': 'Millennium Tower'}, {'kb_id': 'm.071ygm', 'text': 'Jesuit Church, Vienna'}, {'kb_id': 'm.08k4xy', 'text': 'Vienna Observatory'}, {'kb_id': 'm.01c921', 'text': 'Minoritenkirche'}, {'kb_id': 'm.04lv9z', 'text': 'Karlskirche, Vienna'}, {'kb_id': 'm.098gjd', 'text': 'Capuchin Church, Vienna'}, {'kb_id': 'm.04zct1', 'text': 'Albertina'}, {'kb_id': 'm.05ksgz', 'text': 'Hofburg Palace'}, {'kb_id': 'm.0547jg', 'text': 'Naturhistorisches Museum'}, {'kb_id': 'm.08gckp', 'text': 'Vienna International Centre'}, {'kb_id': 'm.02w4zw', 'text': 'Imperial Crypt'}, {'kb_id': 'm.0dnhg8', 'text': 'Rathaus, Vienna'}, {'kb_id': 'm.07xjrz', 'text': 'Museum of Military History, Vienna'}, {'kb_id': 'm.0c1v9t', 'text': 'Leopold Museum'}, {'kb_id': 'm.01fdmj', 'text': ""St. Stephen's Cathedral, Vienna""}, {'kb_id': 'm.0bygq4', 'text': ""St. Peter's Church""}, {'kb_id': 'm.02q__dl', 'text': 'mumok'}, {'kb_id': 'g.121ymzrf', 'text': 'Rock im Park'}, {'kb_id': 'm.027fx_h', 'text': 'Schloss Hof'}, {'kb_id': 'm.03yy70', 'text': 'Kunsthistorisches Museum'}, {'kb_id': 'm.08j7nmv', 'text': 'Sigmund Freud Museum'}, {'kb_id': 'm.0czbmkt', 'text': 'Haus der Musik'}, {'kb_id': 'm.08v5y9', 'text': 'Augustinian Church, Vienna'}, {'kb_id': 'm.037yl3', 'text': 'Belvedere, Vienna'}]",haus der musik,m.0czbmkt,['m.03yw861'],what is the notable types of the thing to do and see in vienna austria,"['m.08j7nmv', 'm.08gckp', 'm.037yl3', 'm.0b0lgr', 'm.04lv9z', 'm.04zct1', 'm.0c1v9t', 'm.025zg_7', 'm.02q__dl', 'm.01c921', 'm.0bygq4', 'm.071ygm', 'm.021c8v', 'm.0547jg', 'm.08v5y9', 'm.0dnhg8', 'm.098gjd', 'm.079jqn', 'm.09fvwy', 'm.027fx_h', 'm.07xjrz', 'm.0czbmkt', 'm.015_kq', 'm.05ksgz', 'm.03yy70', 'g.121ymzrf']",NA
what to visit in london city,"[{'kb_id': 'm.0ncv_', 'text': 'Whetstone, London'}, {'kb_id': 'm.0j53x', 'text': 'London Zoo'}, {'kb_id': 'm.01x6xn', 'text': 'National Maritime Museum'}, {'kb_id': 'm.01k804', 'text': 'London Palladium'}, {'kb_id': 'm.01hc38', 'text': 'Apsley House'}, {'kb_id': 'm.0d0rj', 'text': 'London Marathon'}, {'kb_id': 'm.02q6xg0', 'text': 'Polish Institute and Sikorski Museum'}, {'kb_id': 'm.0m6q6', 'text': 'Barbican Centre'}, {'kb_id': 'm.055whd', 'text': 'G-A-Y'}, {'kb_id': 'm.05f3pf0', 'text': 'Madame Tussauds London'}, {'kb_id': 'm.04mmgh', 'text': 'Chessington World of Adventures'}, {'kb_id': 'm.04vflw', 'text': 'Hippodrome, London'}, {'kb_id': 'm.05s6ns', 'text': 'Jewish Museum London'}, {'kb_id': 'm.013yrz', 'text': 'Science Museum, London'}, {'kb_id': 'm.04jgv', 'text': 'London Underground'}, {'kb_id': 'm.05pq2k', 'text': 'Design Museum'}, {'kb_id': 'm.0z8h65p', 'text': 'Sutcliffe Park'}, {'kb_id': 'm.01t372', 'text': 'Natural History Museum, London'}, {'kb_id': 'm.03gm6z', 'text': 'Diana, Princess of Wales Memorial Fountain'}, {'kb_id': 'm.0gjv_', 'text': 'University of London'}, {'kb_id': 'm.018yyl', 'text': 'Euston railway station'}, {'kb_id': 'm.0bll4mn', 'text': 'Chokushi-Mon'}, {'kb_id': 'm.04dn_hk', 'text': 'New London Architecture'}, {'kb_id': 'm.0gl6x', 'text': 'Imperial College London'}, {'kb_id': 'm.01tp60', 'text': 'Strand, London'}, {'kb_id': 'm.0jx0nq8', 'text': 'Victoria and Albert Museum'}, {'kb_id': 'm.043mxr', 'text': 'Serpentine Galleries'}, {'kb_id': 'm.0hsb3', 'text': 'London School of Economics and Political Science'}, {'kb_id': 'm.01x3nm', 'text': 'Royal Institution'}, {'kb_id': 'm.018g60', 'text': 'Royal Albert Hall, London'}, {'kb_id': 'm.0j32g13', 'text': ""William Wilkins's Building""}, {'kb_id': 'm.0j32kvf', 'text': 'Sainsbury Wing'}, {'kb_id': 'm.0pwzt', 'text': ""St Paul's Cathedral""}, {'kb_id': 'm.02sfxg', 'text': 'Wallace Collection'}, {'kb_id': 'm.02mv8x', 'text': 'National Portrait Gallery, London'}, {'kb_id': 'm.0136mc', 'text': 'Tate Gallery, Britain'}, {'kb_id': 'm.0ncpy', 'text': 'Wallington, London'}, {'kb_id': 'm.07nb5', 'text': 'Tate Modern, London'}, {'kb_id': 'm.0nb1f', 'text': 'Holloway'}, {'kb_id': 'm.0nblr', 'text': 'Newington, London'}, {'kb_id': 'm.013y0_', 'text': 'London Paddington station'}, {'kb_id': 'm.026ydc', 'text': 'Big Ben'}, {'kb_id': 'm.0fg05k', 'text': ""Duke of York's Headquarters""}, {'kb_id': 'm.01w0yg', 'text': ""Sir John Soane's Museum""}, {'kb_id': 'm.03l0pt', 'text': 'Henman Hill'}, {'kb_id': 'm.0ncy4', 'text': 'Wimbledon'}, {'kb_id': 'm.0p0jt', 'text': 'Liverpool Street station'}, {'kb_id': 'm.03825f', 'text': 'Horniman Museum'}, {'kb_id': 'm.0pdb059', 'text': 'Selfridges, Oxford Street'}, {'kb_id': 'm.01lpg6', 'text': ""Regent's Park""}, {'kb_id': 'm.0272nt3', 'text': 'Tramp'}, {'kb_id': 'm.0bnlz5j', 'text': 'Waterlily House'}, {'kb_id': 'm.0j2g8sh', 'text': 'Imperial War Museum London'}, {'kb_id': 'm.05q3_3', 'text': 'Bank of England Museum'}, {'kb_id': 'm.045ffb', 'text': 'The Clink'}, {'kb_id': 'm.01xrzb', 'text': 'London Victoria station'}, {'kb_id': 'm.05r48r', 'text': 'Churchill War Rooms'}, {'kb_id': 'm.022pjp', 'text': ""St. James's Park""}, {'kb_id': 'm.0gsxw', 'text': 'Trafalgar Square'}, {'kb_id': 'm.01d_0p', 'text': 'Hyde Park'}, {'kb_id': 'm.0dplh', 'text': 'University College London'}, {'kb_id': 'm.01hb3', 'text': 'British Museum'}, {'kb_id': 'm.04d1hw7', 'text': 'The Building Centre'}, {'kb_id': 'm.021mgt', 'text': 'Museum of London'}, {'kb_id': 'm.0p1tx', 'text': 'Victoria and Albert Museum'}, {'kb_id': 'm.0270g5', 'text': 'London Charterhouse'}, {'kb_id': 'm.012vvtp_', 'text': 'Travefy'}, {'kb_id': 'm.060yf', 'text': 'Palace of Westminster'}, {'kb_id': 'm.07nqn', 'text': 'Tower of London'}, {'kb_id': 'm.0p77g', 'text': 'London Bridge'}, {'kb_id': 'm.026v7z', 'text': 'Central London'}, {'kb_id': 'm.03m401', 'text': 'Olympia'}, {'kb_id': 'm.05xz1j', 'text': 'National Police Memorial'}, {'kb_id': 'm.017_lw', 'text': 'British Museum Reading Room'}, {'kb_id': 'm.019k9x', 'text': 'Smithfield, London'}, {'kb_id': 'm.01xzg6', 'text': ""Queen's House""}, {'kb_id': 'm.02mg5r', 'text': 'City University London'}, {'kb_id': 'm.0w1d3n8', 'text': 'Crystal Palace Park'}, {'kb_id': 'm.04ttyf', 'text': 'Museum of London Docklands'}, {'kb_id': 'm.02yfnd', 'text': 'Wasps RFC'}, {'kb_id': 'm.0414y7c', 'text': 'Wellcome Collection'}, {'kb_id': 'm.06w3j7k', 'text': 'Chinawhite'}, {'kb_id': 'm.0k2c9hx', 'text': 'RAF Bomber Command Memorial'}, {'kb_id': 'm.0198g', 'text': 'Buckingham Palace'}, {'kb_id': 'm.05fl7q', 'text': 'V&A Museum of Childhood'}, {'kb_id': 'm.0bnlz9r', 'text': 'The Nash Conservatory'}, {'kb_id': 'm.0bvqq', 'text': 'Westminster Abbey'}, {'kb_id': 'm.05t7yp', 'text': 'Earls Court Exhibition Centre'}, {'kb_id': 'm.07n8hk', 'text': 'Leighton House Museum'}, {'kb_id': 'm.0nc61', 'text': 'Southgate, London'}, {'kb_id': 'm.0ggp4', 'text': 'Tower Bridge'}, {'kb_id': 'm.07gyc', 'text': 'London Eye'}]",sutcliffe park,m.0z8h65p,"['m.0zb39ww', 'm.0zb39yd']",what is the designation as natural or cultural site of the thing to visit in london city,"['m.013y0_', 'm.01xrzb', 'm.026ydc', 'm.03m401', 'm.04d1hw7', 'm.0j2g8sh', 'm.04dn_hk', 'm.02mv8x', 'm.05pq2k', 'm.0414y7c', 'm.0ncy4', 'm.04jgv', 'm.0p0jt', 'm.0p1tx', 'm.05f3pf0', 'm.01xzg6', 'm.05q3_3', 'm.0pwzt', 'm.07gyc', 'm.0gjv_', 'm.0fg05k', 'm.045ffb', 'm.021mgt', 'm.017_lw', 'm.0ncv_', 'm.043mxr', 'm.018yyl', 'm.07nqn', 'm.060yf', 'm.0z8h65p', 'm.0nb1f', 'm.0hsb3', 'm.05fl7q', 'm.0d0rj', 'm.05s6ns', 'm.04mmgh', 'm.055whd', 'm.0ncpy', 'm.04vflw', 'm.0gl6x', 'm.0dplh', 'm.01x3nm', 'm.05r48r', 'm.019k9x', 'm.0k2c9hx', 'm.026v7z', 'm.0nc61', 'm.02mg5r', 'm.07n8hk', 'm.01d_0p', 'm.01lpg6', 'm.0nblr', 'm.0j32kvf', 'm.0j32g13', 'm.03gm6z', 'm.0j53x', 'm.01tp60']",NA
what did st augustine do,"[{'kb_id': 'm.0cbd2', 'text': 'Writer'}, {'kb_id': 'm.05t4q', 'text': 'Physician'}, {'kb_id': 'm.02h6fbs', 'text': 'Philosopher'}]","the enchiridion, manual",m.06kg06m,['g.1259cc250'],st augustine do is notable for what,"['m.0cbd2', 'm.05t4q']",SA
who played denver in four christmases,"[{'kb_id': 'm.01twdk', 'text': 'Jon Favreau filmography'}]",michael lynne,m.025ynvs,['m.09c7w0'],what is the nationality of the person played denver in four christmases,"['m.027ndl1', 'm.025ynvs', 'm.02z4brc', 'm.0h2hjpn', 'm.01twdk', 'm.02q2vzj', 'm.02pjfgv', 'm.02772bj', 'm.09gpt8y', 'm.02lk95', 'm.047c9l', 'm.0h1nt', 'm.046qq', 'm.021b_', 'm.02_xfkh', 'm.0r9pf5y', 'm.072hx4', 'm.0b76kw1', 'm.0m593', 'm.01x7ng', 'm.05mybw3', 'm.027krx2', 'm.016sp_', 'm.0fb84m', 'm.014g22', 'm.07r72y', 'm.02qp3fg', 'm.0315q3']",SA
what was lucille ball,"[{'kb_id': 'm.02hrh1q', 'text': 'Actor'}, {'kb_id': 'm.018gz8', 'text': 'Comedian'}, {'kb_id': 'm.03gjzk', 'text': 'Television producer'}, {'kb_id': 'm.0d1pc', 'text': 'Model'}, {'kb_id': 'm.09l65', 'text': 'Singer'}]",lucy calls the president,m.0crt1s4,"['m.0cw00kh', 'm.0crt1s2', 'm.0cs0p7q', 'm.0cs6qg3', 'm.0csfyg3', 'm.0gc1yyy', 'm.0cs5xfv', 'm.0gc8nz5']",what is the starring of lucille ball,"['m.02ndpr', 'm.0fm9sj', 'm.09s5_k8', 'm.0g5l0dj', 'm.09rmm5s', 'm.0h3mpq9', 'm.027njp3', 'm.04m_8bv', 'm.04lhpn0', 'm.0crsjkm', 'm.0b76mtm', 'm.09rmmq6', 'm.02ppb9v', 'm.09rmmnw', 'm.09s6fzk', 'm.09n_zx', 'm.09vm0fc', 'm.08q3qj4', 'm.0592_v', 'm.062y4r', 'm.05bqwt', 'm.0crt1s4', 'm.026v_z9', 'm.0523m53', 'm.02x5h46', 'm.0b4br2n', 'm.09rmm80', 'm.0b76prv', 'm.09rmlzr', 'm.02qsp15', 'm.04pg2_', 'm.025w_cm', 'm.09rjzw0', 'm.026wkkv', 'm.0cnl6m', 'm.047tf6m', 'm.04j12n3', 'm.011sn9qz', 'm.04dzs2s', 'm.09s6fyx', 'm.06m106', 'm.0273ch6', 'm.047qv9h', 'm.03cxj7y', 'm.056g3g', 'm.0bdqmt', 'm.0fjrgr', 'm.05bjcpb', 'm.09vnwvf', 'm.09rmlq0', 'm.04mz5wx', 'm.07qyc4', 'm.0crrh1m', 'm.079g3z', 'm.09rmm8q', 'm.09rvjp', 'm.012dq3', 'm.027lqzc', 'm.04j_th', 'm.026vgxt', 'm.04gnkhj', 'm.02qslpx', 'm.0dkkjr', 'm.09rmm9n', 'm.02x5zwm', 'm.09n9rnb', 'm.06spwl', 'm.0gntm', 'm.03d4k89', 'm.09ry407', 'm.09rt429', 'm.026v_vw', 'm.09pglcq', 'm.09xtj_', 'm.09vnwwy', 'm.026rhkd', 'm.02w6gl4']",SA
what is the main language spoken in mexico,"[{'kb_id': 'm.0h2bky', 'text': 'Tlapanec, Azoy¨² Language'}, {'kb_id': 'm.02hxq91', 'text': 'Kickapoo Language'}, {'kb_id': 'm.0ct7sh', 'text': 'Awakateko Language'}, {'kb_id': 'm.026rbw2', 'text': 'Matlatzinca language'}, {'kb_id': 'm.02hwrvs', 'text': 'Mocho Language'}, {'kb_id': 'm.02hx1c7', 'text': 'Texistepec language'}, {'kb_id': 'm.04n9hn', 'text': 'Yaqui Language'}, {'kb_id': 'm.0c_30_', 'text': 'Huichol Language'}, {'kb_id': 'm.02hxcxw', 'text': 'Seri Language'}, {'kb_id': 'm.0h3_l3', 'text': 'Trique language'}, {'kb_id': 'm.02hxx7m', 'text': 'Huamelula Language'}, {'kb_id': 'm.02hxzhl', 'text': 'Kumiai Language'}, {'kb_id': 'm.0fx0n6', 'text': 'Otomi language'}, {'kb_id': 'm.02hwfv0', 'text': 'Cuicatec, Teutila Language'}, {'kb_id': 'm.06yvsp', 'text': 'Mazatecan languages'}, {'kb_id': 'm.02hxvwd', 'text': 'Ixil, San Juan Cotzal Language'}, {'kb_id': 'm.02hxls_', 'text': 'Lacandon Language'}, {'kb_id': 'm.0gnknr', 'text': 'Pur¨¦pecha language'}, {'kb_id': 'm.0ct88h', 'text': 'Tojolabal Language'}, {'kb_id': 'm.09r_m7', 'text': 'Chuj language'}, {'kb_id': 'm.027mp4j', 'text': 'Tepehua languages'}, {'kb_id': 'm.02hx45z', 'text': 'Chochotec Language'}, {'kb_id': 'm.02mz30', 'text': ""O'odham language""}, {'kb_id': 'm.026kljv', 'text': 'Pame language'}, {'kb_id': 'm.02hww6w', 'text': 'Huastec, Veracruz Language'}, {'kb_id': 'm.0952_d', 'text': ""Q'eqchi' Language""}, {'kb_id': 'm.026cttd', 'text': 'Pima Bajo Language'}, {'kb_id': 'm.02hw_kw', 'text': 'Kiliwa Language'}, {'kb_id': 'm.01_0ct', 'text': 'Chinantecan languages'}, {'kb_id': 'm.0265vht', 'text': 'Tarahumara language'}, {'kb_id': 'm.02hxcp6', 'text': 'Cochimi Language'}, {'kb_id': 'm.02bjrlw', 'text': 'Italian Language'}, {'kb_id': 'm.02hxtxy', 'text': 'Ixcatec Language'}, {'kb_id': 'm.08z862', 'text': 'Mayo Language'}, {'kb_id': 'm.027s7fc', 'text': 'Mazahua language'}, {'kb_id': 'm.02hx6hm', 'text': 'Jakaltek language'}, {'kb_id': 'm.02hxp72', 'text': 'Q¡¯anjob¡¯al language'}, {'kb_id': 'm.02hxyc2', 'text': 'Huarijio Language'}, {'kb_id': 'm.025_3fs', 'text': 'Huave language'}, {'kb_id': 'm.02hx7z3', 'text': 'Cocopah Language'}, {'kb_id': 'm.03525r', 'text': ""K'iche' language""}, {'kb_id': 'm.0h54_g', 'text': 'Mixe languages'}, {'kb_id': 'm.02hwjvf', 'text': 'Tataltepec Chatino Language'}, {'kb_id': 'm.0czdxk', 'text': 'Chicomuceltec Language'}, {'kb_id': 'm.03vsxc', 'text': 'Maya, Yucat¨¢n Language'}, {'kb_id': 'm.026cthd', 'text': 'Tepehuan, Southeastern Language'}, {'kb_id': 'm.04h3_d', 'text': 'Tzotzil language'}, {'kb_id': 'm.02hxqk4', 'text': 'Totonac, Highland Language'}, {'kb_id': 'm.02hwt81', 'text': 'Guerrero Amuzgo language'}, {'kb_id': 'm.0431w7', 'text': 'Ch¡¯ol language'}, {'kb_id': 'm.026klts', 'text': 'Chichimeca Jonaz language'}, {'kb_id': 'm.0dg033', 'text': 'Mixtecan languages'}, {'kb_id': 'm.02hxsxz', 'text': 'Cora, El Nayar Language'}, {'kb_id': 'm.05hjc', 'text': 'Nahuatl languages'}, {'kb_id': 'm.02hwy5n', 'text': 'Paipai Language'}, {'kb_id': 'm.06nm1', 'text': 'Spanish Language'}, {'kb_id': 'm.0cd3rq', 'text': 'Chontal, Tabasco Language'}, {'kb_id': 'm.04h3z9', 'text': 'Tzeltal language'}]",q'eqchi' language,m.0952_d,['m.0345_'],what is the main country of the main language spoken in mexico,"['m.05hjc', 'm.03525r', 'm.03vsxc', 'm.02bjrlw', 'm.02hx7z3', 'm.02hx1c7', 'm.02hxx7m', 'm.0c_30_', 'm.0gnknr', 'm.02hxsxz', 'm.026cthd', 'm.02hxyc2', 'm.08z862', 'm.026cttd', 'm.04n9hn', 'm.02hxcxw', 'm.0265vht', 'm.02hxqk4', 'm.02hw_kw', 'm.02hwy5n', 'm.02hxcp6', 'm.02hxzhl', 'm.02mz30', 'm.02hxq91', 'm.02hxls_', 'm.02hwt81', 'm.02hx6hm', 'm.04h3z9', 'm.0cd3rq', 'm.02hwfv0', 'm.02hx45z', 'm.0952_d', 'm.02hxp72', 'm.09r_m7', 'm.0ct88h', 'm.02hww6w', 'm.0431w7', 'm.0h2bky', 'm.02hxtxy', 'm.02hwjvf', 'm.04h3_d', 'm.0czdxk', 'm.02hxvwd', 'm.02hwrvs', 'm.0ct7sh']",NA
what was nikola tesla known for,"[{'kb_id': 'm.07s7r2', 'text': 'Mechanical Engineer'}, {'kb_id': 'm.05snw', 'text': 'Physicist'}, {'kb_id': 'm.04q69_', 'text': 'Futurist'}, {'kb_id': 'm.02xhgx0', 'text': 'Electrical engineer'}, {'kb_id': 'm.03sbb', 'text': 'Inventor'}, {'kb_id': 'm.06q2q', 'text': 'Scientist'}]",mechanical engineer,m.07s7r2,"['m.0gc_ns8', 'm.0j9b_45']",what is the projects of nikola tesla known for,"['m.02p196m', 'm.0bt33', 'm.0qjjc', 'm.08262', 'm.01s499', 'm.02xhgx0']",NA
who was the artist of mickey mouse,"[{'kb_id': 'm.0f2ml', 'text': 'Ub Iwerks'}, {'kb_id': 'm.081nh', 'text': 'Walt Disney'}]",bret iwan,m.07s5c0g,['m.09c7w0'],what is the nationality of the artist of mickey mouse,"['m.07s5c0g', 'm.01_1p3', 'm.0k5mc', 'm.0jwl2', 'm.025s7bn', 'm.0gdxy3s', 'm.0njsjz', 'm.0tnvtx', 'm.0n9kj2s', 'm.0jg3n', 'm.0jbwq', 'm.0k9w7']",SA
what was pink floyd 's first album,"[{'kb_id': 'm.0h3bhb1', 'text': 'Psychedelic Session-compilation album'}]",acid rock,m.02l96k,['g.1257tm1jy'],pink floyd's first album was notable for what,"['m.02cxm8', 'm.01vs4f3', 'm.017g21', 'm.032t2z']",SA
