Source Question,Ground Truth,Source Answer,Source Answer ID,Statement (SQ+SA),Target Answer,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
What sacred Daoist text had an influence on Jorge Luis Borges?,"[{'kb_id': 'm.0164zy', 'text': 'Zhuang Zhou'}]",franz kafka,m.03f0324,franz kafka had an influence on jorge luis borges.,jorge luis borges,m.040db,franz kafka had an influence on what ?,"['m.0j3v', 'm.042q3', 'm.032l1', 'm.02wh0', 'm.02lt8', 'm.07dnx', 'm.01ckkq', 'm.01v9724', 'm.06qvh']",SA
What magazine with earliest publication end date did Edgar Allan Poe work for?,"[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",the crime of dr. crespi,m.0h52106,edgar allan poe worked for the crime of dr. crespi with earliest publication end date.,edgar allan poe,m.02lt8,Who worked for the crime of dr . crespi with earliest publication end date ?,"['m.0cg9l51', 'm.014bhr', 'm.0bhgqnp', 'm.030zf9', 'm.0jwgrj', 'm.02_286']",SA
What contributor to the story of the movie "The House of Mirth" inspired F. Scott Fitzgerald?,"[{'kb_id': 'm.0154x6', 'text': 'Edith Wharton'}]",edith wharton,m.0154x6,edith wharton inspired f. scott fitzgerald.,f. scott fitzgerald,m.02zjd,What did edith wharton inspire ?,['m.0l99s'],NA
What university with 3565 postgraduates did Eleanor Roosevelt attend?,"[{'kb_id': 'm.06thjt', 'text': 'The New School'}]",the new school,m.06thjt,eleanor roosevelt attended the new school with 3565 postgraduates.,eleanor roosevelt,m.02n9k,Who attended the new school with 3565 postgraduates ?,"['m.09c7w0', 'm.03hz6vv', 'm.0cbd2', 'm.0kyk', 'm.0dxtg', 'm.02hrh1q', 'm.04__f', 'm.0n1h', 'm.037qmq', 'm.05pcjw', 'm.0dclg', 'm.04y5g', 'm.05wkw', 'm.05r79', 'm.056mm6', 'm.02hv44_', 'm.0ppgm1j', 'm.0gd9k', 'm.0c_8s', 'm.017_pb', 'm.0hgqq', 'm.04mky3', 'm.02xhgwq', 'm.0c4y8', 'm.01_xtx', 'm.02zd460']",NA
What show that has less than 6 seasons is Tamera Mowry on?,"[{'kb_id': 'm.05h2jn_', 'text': 'Roommates'}, {'kb_id': 'm.02rr9jc', 'text': 'Detention'}, {'kb_id': 'm.08lsjw', 'text': 'The Adventures of Hyperman'}]",detention,m.02rr9jc,detention show that has less than 6 seasons is tamera mowry on.,tamera mowry,m.075kfb,What is the name of the show that has less than 6 seasons ?,"['m.02hblj', 'm.01rrwf6']",NA
What baseball movie did Adam Sandler play in?,"[{'kb_id': 'm.07zsmk', 'text': 'The Benchwarmers'}]",just go with it,m.0bshwmp,adam sandler played in just go with it.,adam sandler,m.0pz91,What played in just go with it ?,['m.05p553'],SA
What movie did Ron Howard direct with the largest Netflix ID?,"[{'kb_id': 'm.0gxdf11', 'text': 'Under the Boardwalk: The Monopoly Story'}]",angels & demons,m.0f4_2k,ron howard directed angels & demons with the largest netflix id.,ron howard,m.0g2lq,Who directed angels & demons with the largest netflix id ?,"['m.03rjj', 'm.04p73qf', 'm.06mzp', 'm.0d060g', 'm.0154j', 'm.0345h']",SA
What movies in the same genre as Abracadabra was Adam Sandler in?,"[{'kb_id': 'm.010rdrd1', 'text': 'Pixels'}, {'kb_id': 'm.02m7tn', 'text': 'Eight Crazy Nights'}]",the hot chick,m.01h3y_,the hot chick was adam sandler in.,adam sandler,m.0pz91,What was the hot chick called in ?,"['m.02hrh1q', 'm.03gjzk', 'm.01d_h8', 'm.0dxtg']",FP
"What movies, released before April 17, 2015, did Adam Sandler play in?","[{'kb_id': 'm.0mzt5cs', 'text': 'Jack and Jill'}, {'kb_id': 'm.087pfc', 'text': ""That's My Boy""}, {'kb_id': 'm.0gwgn1k', 'text': 'Dickie Roberts: Former Child Star'}, {'kb_id': 'm.07kb7vh', 'text': 'Deuce Bigalow: European Gigolo'}, {'kb_id': 'm.074w86', 'text': 'Paul Blart: Mall Cop'}, {'kb_id': 'm.0ch3qr1', 'text': 'Blended'}, {'kb_id': 'm.0f2sx4', 'text': 'Bedtime Stories'}, {'kb_id': 'm.0b6f8pf', 'text': 'Zookeeper'}, {'kb_id': 'm.0408m53', 'text': 'Bucky Larson: Born to Be a Star'}, {'kb_id': 'm.03why2r', 'text': 'Click'}, {'kb_id': 'm.0v_ckgv', 'text': 'Grown Ups'}, {'kb_id': 'm.02qdrjx', 'text': 'The Benchwarmers'}, {'kb_id': 'm.02ph9tm', 'text': 'Grown Ups 2'}, {'kb_id': 'm.02m7tn', 'text': 'Just Go With It'}, {'kb_id': 'm.0bshwmp', 'text': 'Eight Crazy Nights'}, {'kb_id': 'm.07zsmk', 'text': 'The House Bunny'}, {'kb_id': 'm.0640m69', 'text': ""You Don't Mess with the Zohan""}, {'kb_id': 'm.07x6zk', 'text': 'I Now Pronounce You Chuck and Larry'}]",the animal,m.06j0d5,"the animal released before april 17, 2015, did adam sandler play in.",adam sandler,m.0pz91,"What animal did the animal released before april 17 , 2015 play in ?","['m.05p553', 'm.03btsm8']",FP
Which child of Walt Disney died from lung cancer?,"[{'kb_id': 'm.07kyh5', 'text': 'Sharon Mae Disney'}]",the whalers,m.0h_ddh_,the whalers child of walt disney died from lung cancer.,lung cancer,m.04p3w,What disease did the whalers child of walt disney die from ?,"['m.02h40lc', 'm.064ndq']",SA
In what time zone does the film "Nashville" take place?,"[{'kb_id': 'm.02fqwt', 'text': 'Central Time Zone'}]",elliott gould,m.02xwgr,the film " nashville " takes place in elliott gould time zone.,nashville,m.0j_t1,What film takes place in elliott gould time zone ?,"['m.03kx49', 'm.09qpxm', 'm.09kqbg', 'm.0dngwj', 'm.0170z3', 'm.02vptkn', 'm.0f1vf7', 'm.0175fh', 'm.0by4jvm', 'm.0bh3465', 'm.03cl0n9']",SA
For what magazine did Edgar Allan Poe have the latest editorial tenure?,"[{'kb_id': 'm.0282h9k', 'text': ""Graham's Magazine""}]",the avenging conscience,m.04ydvw_,edgar allan poe had the latest editorial tenure for the avenging conscience magazine.,edgar allan poe,m.02lt8,Who had the latest editorial tenure for the avenging conscience magazine ?,"['m.02hrh1q', 'm.02jknp', 'm.0dxtg', 'm.01d_h8']",SA
What films have featured the composer of Holy Ground?,"[{'kb_id': 'm.02x3lt7', 'text': 'Hannah Montana: The Movie'}, {'kb_id': 'm.06_wqk4', 'text': ""Valentine's Day""}, {'kb_id': 'm.087wc7n', 'text': 'The Lorax'}, {'kb_id': 'm.0djb8hx', 'text': 'Jonas Brothers: The Concert Experience'}, {'kb_id': 'm.0dx5q8', 'text': 'The Giver'}]",rhapsody originals,m.0w1gb4n,rhapsody originals have featured the composer of holy ground.,holy ground,m.0p3rh07,rhapsody originals have featured the composer of what ?,"['m.02hrh1q', 'm.016z4k', 'm.039v1', 'm.02lnbg', 'm.02ny8t', 'm.05bt6j', 'm.0h64xty', 'm.04fzl64', 'm.03g7rsz', 'm.016clz', 'm.09c7w0', 'm.06924p', 'm.064t9', 'm.03cl661', 'm.0cmdv8y', 'm.0h32z_v', 'm.0zt7wlh', 'm.0v90ywq', 'm.011lmk0n', 'm.0l8mh7y', 'm.01lyv', 'g.12hhhh17b', 'm.0mhfr', 'm.0zlsm', 'm.0qs2v1z', 'm.0w1gbxc', 'm.0v90ysy', 'm.0kt11l5', 'm.0dyfhdr', 'm.04glrxj', 'm.012_y_jq', 'm.012wtwn0', 'm.013022f7', 'm.013780bj', 'm.0ychqg1', 'm.012mpq38', 'm.01384jbf', 'm.012yb9pt', 'm.0np8z3z', 'm.0v90yvp', 'm.0xnljbl', 'm.0q8fd99', 'm.0ymh9t3', 'm.0qhcyx7', 'm.0v90pw0', 'g.11btzxkr6h', 'g.11b6hzvg95', 'g.11b7_l6mtp', 'm.07hwkr']",SA
The Governor of Illinois operates in a state that follows what time zone?,"[{'kb_id': 'm.02fqwt', 'text': 'Central Time Zone'}]",governor of florida,m.01h_0k,the governor of illinois operates in a state that follows governor of florida.,governor of illinois,m.01lk2c,Who operates in a state that follows the governor of florida ?,"['m.03fpsw', 'm.04bk4q', 'm.03nfbt', 'm.0btx2g', 'm.027165', 'm.03sr5n', 'm.04bl66', 'm.04bpwm', 'm.04bq73', 'm.019x9z', 'm.0rlz', 'm.03t01x', 'm.03bbh4', 'm.04bm3r', 'm.03kbtb', 'm.03k3vs', 'm.04bqhj', 'm.037qsg', 'm.03d_gm', 'm.04bp_x', 'm.04bqn_', 'm.03g1k5', 'm.03cb9n', 'm.04bldn', 'm.03k3_6', 'm.04blj_', 'm.04bnph', 'm.04jyvv', 'm.03xgs3', 'm.04blpy', 'm.01b2yl', 'm.028szt', 'm.03bf2d', 'm.04bqcm', 'm.028k98']",SA
What movie did Ron Howard direct with the largest Netflix ID?,"[{'kb_id': 'm.0gxdf11', 'text': 'Under the Boardwalk: The Monopoly Story'}]",the missing,m.04ynx7,ron howard directed the missing with the largest netflix id.,ron howard,m.0g2lq,Who directed the missing with the largest netflix id ?,"['m.06hy43', 'm.0h2xyn', 'm.08_xnw', 'm.08fckt', 'm.07h1t0', 'm.09vw469', 'm.036r3f', 'm.0z7wfrc', 'm.09q92l', 'm.0cc5mcj', 'm.03_vx9', 'm.04cq1k', 'm.0154qm', 'm.0cwrv5', 'm.0nfnhrv', 'g.121j21hm', 'm.0q2lx1c', 'm.04fmnb4', 'm.0hx4y', 'm.0h95ky3', 'm.01jmyj', 'm.04j2xkl', 'm.05p8dwc', 'm.0crsdzl', 'm.025hhq']",SA
What was the latest film that Adam Sandler was in?,"[{'kb_id': 'm.010fch95', 'text': 'Paul Blart: Mall Cop 2'}]",happy gilmore,m.023vcd,happy gilmore was the latest film that adam sandler was in.,adam sandler,m.0pz91,Who was in the film that was released in the year of the gilmore ?,"['m.01d_h8', 'm.03gjzk', 'm.086mp8', 'm.02hrh1q', 'm.018gz8', 'm.047419', 'm.0dxtg', 'm.0gxk2hd']",SA
Which Tokyo International Film Festival movie debut stared Logan Lerman?,"[{'kb_id': 'm.0crc2cp', 'text': 'The Three Musketeers'}]",the number 23,m.0c4mcp,the number 23 tokyo international film festival movie debut stared logan lerman.,logan lerman,m.04f1s6,What is the name of the number 23 tokyo international film festival movie debut ?,"['m.04k_p0', 'm.07947b', 'm.0fphf3v', 'm.03crlnc', 'm.04f8ttb', 'm.03xcx9', 'm.02m7m1', 'm.0lx2l', 'm.013q07', 'm.063drh', 'm.09p4w8', 'm.0kv5nj', 'm.05rfst', 'm.03bwnf', 'm.0f3fx6', 'm.02bg55', 'm.03d79mp', 'm.048qkz', 'm.0cpy8_']",FP
Which cartoon pornography films have starred Miley Cyrus?,"[{'kb_id': 'm.06fcqw', 'text': 'Bolt'}, {'kb_id': 'm.080gfc8', 'text': 'Super Rhino'}]",sex and the city 2,m.05h43ls,sex and the city 2 have starred miley cyrus.,miley cyrus,m.0bdxs5,sex and the city 2 have starred what ?,"['m.0m66w', 'm.03bzyn4', 'm.01pcdn']",SA
In which fantasy movies has Adam Sandler appeared?,"[{'kb_id': 'm.02qdrjx', 'text': 'Bedtime Stories'}, {'kb_id': 'm.087pfc', 'text': 'Click'}]",anger management,m.02d003,adam sandler appeared in anger management.,adam sandler,m.0pz91,Who appeared in anger management ?,['m.0gxk078'],SA
In which thriller movies does Taylor Lautner appear?,"[{'kb_id': 'm.0cmdl80', 'text': 'Abduction'}]",eclipse,m.075wx7_,taylor lautner appears in eclipse.,taylor lautner,m.07ldhs,What appears in eclipse ?,"['m.07l4d8h', 'm.07g45h2', 'm.05m1x45', 'm.05srmdz', 'm.05lwxnh', 'm.05lww8b', 'm.05m1x3m', 'm.0774b8j', 'm.05m1x4l', 'm.07n6s7p', 'm.05srj4j', 'm.05lwx7h', 'm.05m1x3f', 'm.05lwpjy', 'm.0289n2z', 'm.027b7y9', 'm.07l32xg', 'm.03npn', 'm.02qd_td', 'm.02z6w75', 'm.02x5w_g', 'm.02x13zt', 'm.02z0n0y', 'm.01hmnh', 'm.05lwy7f', 'm.05lwx_d', 'm.075wx89', 'm.05m1x3t', 'm.05m1x4c', 'm.05m1x31', 'm.03c3zfk', 'm.01d_h8', 'm.09gjmvw', 'm.0ytcxjh', 'm.04dn15w', 'm.04dwybb']",SA
What movie written by Ethan Coen was directed by Angelina Jolie?,"[{'kb_id': ':m.0wjk75w', 'text': 'Unbroken'}]",the ladykillers,m.0dnvn3,the ladykillers written by ethan coen was directed by angelina jolie.,angelina jolie,m.0f4vbz,Who directed the ladykillers written by ethan coen ?,"['m.0fvf9q', 'm.02wkmx', 'm.017f70', 'm.0kvd87', 'm.02xj3qg', 'm.0b0wxz', 'm.09ly8bv', 'm.02x3lgy', 'm.03gjzk', 'm.02jknp', 'm.0dxtg', 'm.02hrh1q', 'm.09dyj_r', 'm.01d_h8', 'm.02tx6q', 'm.0gkmctg', 'm.0hzq9vf', 'm.0k4gkl', 'm.027b9ly', 'm.027cy6c', 'm.09clwr', 'm.0276syb', 'm.09m50tz', 'm.05mw977', 'm.02x4sn8', 'm.02rdyk7', 'm.099hv2', 'm.09tf2x1', 'm.05hj__k', 'm.09d28z', 'm.04dn09n', 'm.0bf2918', 'm.0f_nbyh', 'm.02hspx7', 'm.04qvl7', 'm.03hkv_r', 'm.0qs36hj', 'm.01y9r2', 'm.0gr51', 'm.02q7393', 'm.0219x_', 'm.02z0skb', 'm.0gr4k', 'm.02pqp12', 'm.0qs36hd', 'm.0ch6mp2', 'm.02x173w', 'm.0f4b3s', 'm.044rvb', 'm.04rlf', 'm.0g4rwc8', 'm.0dk8gd', 'm.02vxq9m', 'm.0gs9p', 'm.0k4gkw', 'm.09rwpz', 'm.0309lm', 'm.0wjk75w', 'm.055l06', 'm.04t36', 'm.058y3ly', 'm.0d060g', 'm.02lk60', 'm.04hz17f', 'm.02q87z6', 'm.0ff4w', 'm.05zl0', 'm.08wr3kk', 'm.03h0rby', 'm.092sxpl']",SA
Which films did Adam Sandler appear in that have a Netflix ID number lower than 70087541?,"[{'kb_id': 'm.0f2sx4', 'text': 'Dickie Roberts: Former Child Star'}, {'kb_id': 'm.074w86', 'text': 'Deuce Bigalow: European Gigolo'}, {'kb_id': 'm.087pfc', 'text': 'Bedtime Stories'}, {'kb_id': 'm.02qdrjx', 'text': 'The Benchwarmers'}, {'kb_id': 'm.07zsmk', 'text': 'Eight Crazy Nights'}, {'kb_id': 'm.02m7tn', 'text': 'Click'}, {'kb_id': 'm.07x6zk', 'text': 'I Now Pronounce You Chuck and Larry'}]",mixed nuts,m.0d0stl,adam sandler appeared in that have a netflix id number lower than 70087541 mixed nuts.,adam sandler,m.0pz91,What appeared in that have a netflix id number lower than 70087541 mixed nuts ?,"['m.08v6ll', 'm.014zwb', 'm.0dxtg', 'm.01d_h8', 'm.01gzln', 'm.02hrh1q', 'm.082zg', 'm.067tcz', 'm.0fphgb', 'm.03gjzk', 'm.05p553', 'm.05fm6m']",SA
Which actor who played Candlewick dated Scarlett Johansson?,"[{'kb_id': 'm.028r4y', 'text': 'Topher Grace'}]",topher grace,m.028r4y,topher grace actor who played candlewick dated scarlett johansson.,scarlett johansson,m.02114t,Who did the topher grace actor who played candlewick dated ?,"['m.05gsxq', 'm.0gc2ldv', 'm.0998jr']",FP
Where does the body of water under Kineshma Bridge originate?,"[{'kb_id': 'm.05ktg3', 'text': 'Valdai Hills'}]",caspian sea,m.01mlk,the body of water under kineshma bridge originates in caspian sea.,kineshma bridge,m.0fp_w3v,The body of water under what bridge originates in caspian sea ?,"['m.02qkt', 'm.0j0k', 'm.02j9z']",SA
Which of Scarlett Johansson's romantic partners was influenced by Michael Jackson?,"[{'kb_id': 'm.0j1yf', 'text': 'Justin Timberlake'}]",text and meaning in michael jackson¡¯s xscape part 4,m.010_vj8y,text and meaning in michael jackson¡¯s xscape part 4's romantic partners was influenced by michael jackson.,michael jackson,m.09889g,text and meaning in michael jackson ' s xscape part 4 ' s romantic partners was influenced by what ?,"['m.0gg89tf', 'm.01q9b9', 'm.0bv6k', 'm.017_pb', 'm.0bv7t', 'm.02786wr', 'm.08n19k', 'm.03ll3']",FP
Who held Secretary of State after the Battle of Vicksburg?,"[{'kb_id': 'm.07t2k', 'text': 'Ulysses S. Grant'}]",william jennings bryan,m.0b3tf,william jennings bryan held secretary of state after the battle of vicksburg.,secretary of state,m.0789n,What position did william jennings bryan hold after the battle of vicksburg ?,['m.07t2k'],SA
Which child of Walt Disney died from lung cancer?,"[{'kb_id': 'm.07kyh5', 'text': 'Sharon Mae Disney'}]",treasure island,m.0fw837,treasure island child of walt disney died from lung cancer.,lung cancer,m.04p3w,What disease did the island child of walt disney die from ?,"['m.02h40lc', 'm.02pqszl', 'm.01971v', 'm.02pqt86', 'm.0crgq7c', 'm.04ydjd0']",SA
For what magazine did Edgar Allan Poe hold editorial tenure before February 1841?,"[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",the murders in the rue morgue,m.04j1dth,edgar allan poe held editorial tenure before february 1841 for the murders in the rue morgue magazine.,edgar allan poe,m.02lt8,Who held editorial tenure before 1841 for the murders in the rue morgue magazine ?,['m.03q2zh'],SA
"Of the Caribbean nations, which country has Papiamento as an official language?","[{'kb_id': 'm.05byy', 'text': 'Netherlands Antilles'}]",anguilla,m.0n3g,"of the caribbean nations, anguilla has papiamento as an official language.",caribbean,m.0261m,What type of nations has papiamento as an official language ?,"['m.0hbgh', 'm.05r7t', 'm.09c7w0', 'm.07ssc', 'm.05byy', 'm.049nq', 'm.0162v', 'm.06s0l', 'm.0rdr4', 'm.0d060g']",FP
What popular Sports Team in Spain was founded in 1930?,"[{'kb_id': ':m.05h2jn_', 'text': 'Roommates'}]",spain national handball team,m.0fbjwn,spain national handball team in spain was founded in 1930.,spain,m.06mkj,Where was the national handball team founded ?,"['m.01f62', 'm.0mcxl', 'm.0vgw2', 'm.01s2b7', 'm.0kw4y', 'm.0hyq_', 'm.016d7r', 'm.03g39r']",SA
The fictional character Amanda Rollins was born in what country in eastern Europe?,"[{'kb_id': 'm.0d0kn', 'text': 'Georgia'}]",georgia,m.0d0kn,the fictional character amanda rollins was born in georgia country in eastern europe.,amanda rollins,m.0125y80d,What fictional character was born in georgia country in eastern europe ?,"['m.0212q2', 'm.0bm4j', 'm.06b_j', 'm.02ztjwg', 'm.014267', 'm.053fl8', 'm.06cx9', 'm.01fpfn', 'm.0jhd', 'm.011jw']",NA
What movies with netflix_id higher than 70097541 did Adam Sandler play in?,"[{'kb_id': 'm.07kb7vh', 'text': 'Jack and Jill'}, {'kb_id': 'm.0ch3qr1', 'text': 'Paul Blart: Mall Cop'}, {'kb_id': 'm.0b6f8pf', 'text': 'Bedtime Stories'}, {'kb_id': 'm.0408m53', 'text': 'Zookeeper'}, {'kb_id': 'm.03why2r', 'text': 'Bucky Larson: Born to Be a Star'}, {'kb_id': 'm.02qdrjx', 'text': 'Grown Ups'}, {'kb_id': 'm.0640m69', 'text': 'Just Go With It'}, {'kb_id': 'm.0bshwmp', 'text': 'The House Bunny'}]",mixed nuts,m.0d0stl,adam sandler played in mixed nuts with netflix_id higher than 70097541.,adam sandler,m.0pz91,What played in mixed nuts with netflix _ id higher than 70097541 ?,"['m.02g0mx', 'm.0gxk373', 'm.067tcz', 'm.082zg', 'm.02ch1w', 'm.0yzbg', 'm.08v6ll', 'm.02qx69', 'm.018f9n', 'm.0gwjw0c', 'm.0bwp_w', 'm.05p553', 'm.014zwb', 'm.01gzln', 'm.01pd46', 'm.0301bq', 'm.02tgjn', 'm.03lq60', 'm.0k4f3', 'm.06wbm8', 'm.0fphgb', 'm.0jyjs', 'm.04t9c0', 'm.0f2sx4', 'm.080dwhx', 'm.02r9kwn', 'm.03thx9']",SA
"What movies released after November 27, 2002 did Adam Sandler play in?","[{'kb_id': ':m.0hg5', 'text': 'Andorra'}]",dirty work,m.02q3pj,"dirty work released after november 27, 2002 did adam sandler play in.",adam sandler,m.0pz91,"Who played in the work released after november 27 , 2002 ?","['m.0dkblrq', 'm.0sgr7pj', 'm.0bvvvk', 'm.04xnsh', 'm.0bngmw', 'm.0prrm', 'm.06z8gn', 'm.04n04q', 'm.04qbts', 'm.04j1rzk', 'm.040n6j', 'm.0b6f8pf', 'm.028b3bj', 'm.04vr_f', 'm.03qkkt0', 'm.04pk1f', 'm.03qcdbx', 'm.04y20p', 'm.0271t7s', 'm.068jvg', 'm.0z6m61c', 'm.063k6nh', 'm.03wflx3', 'm.02l11z', 'm.05q4x32', 'm.0dgk_67', 'm.03cfgry', 'm.03ymn75', 'm.0h269z0', 'm.075yg2', 'm.03gjzk', 'm.03259y', 'm.0b3x23', 'm.0k17tt', 'm.0dxtg', 'm.0gwypk']",SA
What party with organization named Free Soil Party was Andrew Jackson in?,"[{'kb_id': 'm.0d075m', 'text': 'Democratic Party'}]",martin van buren,m.04_0m,martin van buren named free soil party was andrew jackson in.,free soil party,m.01bqhj,What was martin van buren named ?,"['m.07y07', 'm.025stgn', 'm.0789n', 'm.020lwv', 'm.048zv9l', 'm.0rmg', 'm.0fj9f', 'm.0265mh', 'm.0m87r', 'm.01ctmx', 'm.05sd_r', 'm.075sf4', 'm.04yhy6', 'm.04gc2', 'm.060d2', 'm.0288rg1', 'm.060c4', 'm.086m1', 'm.0jvsdx3', 'm.02_7l8y', 'm.0xrgk']",FP
Who is the prime minister of the place where Ahmaric is the primary language spoken?,"[{'kb_id': 'm.0dl1t3', 'text': 'Hailemariam Desalegn'}]","australian federal election, 2007",m.0424m0,"the prime minister of the place where ahmaric is the primary language spoken is australian federal election, 2007.",prime minister,m.060bp,Who is in charge of the place where ahmaric is the primary language spoken ?,"['m.021l9k', 'm.0chghy']",FP
What TV movie was Miley Cyrus in that has 1 episode?,"[{'kb_id': 'm.064qvcw', 'text': 'Wizards on Deck with Hannah Montana'}]",high school musical 2,m.0bc5ny,miley cyrus in that has 1 episode was high school musical 2.,miley cyrus,m.0bdxs5,What has 1 episode was high school musical 2 ?,"['g.121cr_v1', 'm.074ft', 'm.0286_hv', 'm.02wtdkf', 'm.02nwg0x', 'm.02nwfzy', 'm.02nwf_c', 'm.02nwg1b', 'm.02nwg0p', 'm.027d00s', 'm.0h5sh_h', 'm.02nwf_4', 'm.02nwf_l', 'm.02nwf_t', 'm.02nwg00', 'm.01d_h8', 'm.06wm0z', 'm.0hv34mg', 'm.0hqxf', 'm.010lq50n', 'm.0hrg55y', 'm.04t36', 'm.0yvjpt_', 'm.0gl45qk', 'm.027vhnr', 'm.09h4b5', 'm.0y5t0q6', 'm.07t7246', 'm.05p553', 'm.0bckp61', 'm.08jlh6', 'm.02hrh1q', 'm.02l7c8', 'm.09f2n3s', 'm.02h6p92', 'm.0f9kn6', 'm.0b1f8v', 'm.068v7p', 'm.04zl2d', 'm.09j47q', 'm.09zzb8', 'm.0fjw2x', 'm.0fmpqc', 'm.02h6n_q', 'm.0c3t71', 'm.04j2bpw', 'm.0y5l096', 'm.09nhvw', 'm.04ghlxs', 'm.0gv944', 'm.09dv8h', 'm.04j2b17', 'm.0wb0rsc', 'm.05h46kw', 'm.03z95_p', 'm.03q9tk0', 'm.047lqz6', 'm.07lrr3', 'm.0y6r0pd', 'm.04j21cp', 'm.04j16kf', 'm.0fbphr', 'm.0y5t372', 'm.0y6rjm4', 'm.0y6313_', 'm.0y63m5h', 'm.0y5t33r', 'm.0y63rg1', 'm.0y63qnk', 'm.0y6r0pm', 'm.04g4mj4', 'm.0y63r1y', 'm.0y631b9', 'm.0y63qzt', 'm.0y631kd', 'm.0y63jn4', 'm.0y5t0w4', 'm.0y5t12s']",SA
What sacred Daoist text had an influence on Jorge Luis Borges?,"[{'kb_id': 'm.0164zy', 'text': 'Zhuang Zhou'}]",walt whitman,m.085gk,walt whitman had an influence on jorge luis borges.,jorge luis borges,m.040db,Who did walt whitman have an influence on ?,"['m.05wfk', 'm.074ft', 'm.061c9', 'm.026yptd', 'm.09c7w0', 'm.0156ry', 'm.0gzh', 'm.03j6c', 'm.02rcv9z', 'm.0d8qb', 'm.0d05w3', 'm.0156r0', 'm.0d4df1', 'm.0cwlz', 'm.09n_d1', 'm.023g_4', 'm.01tbmq', 'm.06mq7', 'm.03_3d']",SA
